date,entry_time,spot_price,atm,ce_strike,pe_strike,expiry,entry_ce,entry_pe,exit_time,exit_spot_price,exit_ce,exit_pe,exit_reason,pnl
2025-07-02,2025-07-02 09:15:00,25787.2,25800,25900,25700,2025-07-03,8.45,151.8,2025-07-02 09:16:00,25674.0,8.55,147.5,SL,-4.20000000000001
2025-07-03,2025-07-03 09:15:00,25662.3,25650,25750,25550,2025-07-10,69.6,193.3,2025-07-03 09:16:00,25690.0,73.6,176.1,SL,-13.200000000000017
2025-07-04,2025-07-04 09:15:00,25618.1,25600,25700,25500,2025-07-10,57.7,184.5,2025-07-04 09:24:00,25602.0,49.9,184.5,SL,-7.800000000000004
2025-07-07,2025-07-07 09:15:00,25750.0,25750,25850,25650,2025-07-10,15.5,275.8,2025-07-07 09:16:00,25498.3,16.3,265.45,SL,-9.550000000000022
2025-07-08,2025-07-08 09:15:00,25526.1,25550,25650,25450,2025-07-10,40.6,106.95,2025-07-08 09:20:00,25645.1,40.2,99.85,SL,-7.500000000000007
2025-07-09,2025-07-09 09:15:00,25592.0,25600,25700,25500,2025-07-10,19.75,65.5,2025-07-09 09:25:00,25576.2,16.05,69.6,Target,0.399999999999995
2025-07-10,2025-07-10 09:15:00,25659.0,25650,25750,25550,2025-07-17,57.1,168.05,2025-07-10 09:25:00,25793.2,52.1,179.0,Target,5.949999999999989
2025-07-11,2025-07-11 09:15:00,25595.0,25600,25700,25500,2025-07-17,19.55,265.2,2025-07-11 09:16:00,25594.6,20.25,257.6,SL,-6.899999999999967
2025-07-14,2025-07-14 09:15:00,25170.2,25150,25250,25050,2025-07-17,66.2,80.45,2025-07-14 09:20:00,25151.7,60.45,82.9,SL,-3.299999999999997
2025-07-15,2025-07-15 09:15:00,25470.0,25450,25550,25350,2025-07-17,12.45,219.25,2025-07-15 09:24:00,25468.9,11.0,211.45,SL,-9.25000000000001
2025-07-16,2025-07-16 09:15:00,25490.0,25500,25600,25400,2025-07-17,3.25,231.1,2025-07-16 09:25:00,25186.0,3.0,262.4,Target,31.049999999999983
2025-07-17,2025-07-17 09:15:00,25355.0,25350,25450,25250,2025-07-24,54.25,140.0,2025-07-17 09:25:00,25510.0,51.95,136.15,SL,-6.1499999999999915
2025-07-18,2025-07-18 09:15:00,25424.6,25400,25500,25300,2025-07-24,21.55,218.9,2025-07-18 09:25:00,25125.4,19.35,246.15,Target,25.05
2025-07-21,2025-07-21 09:15:00,25253.1,25250,25350,25150,2025-07-24,18.6,224.0,2025-07-21 09:17:00,25260.0,18.15,213.5,SL,-10.950000000000003
2025-07-22,2025-07-22 09:15:00,25437.3,25450,25550,25350,2025-07-24,7.55,210.7,2025-07-22 09:16:00,25439.8,7.95,202.6,SL,-7.699999999999994
2025-07-23,2025-07-23 09:15:00,25249.1,25250,25350,25150,2025-07-24,9.5,69.6,2025-07-23 09:18:00,25401.8,8.5,68.35,SL,-2.25
2025-07-24,2025-07-24 09:15:00,25506.2,25500,25600,25400,2025-07-31,24.85,213.6,2025-07-24 09:25:00,25332.0,20.85,225.1,Target,7.5
2025-07-25,2025-07-25 09:15:00,25235.3,25250,25350,25150,2025-07-31,21.3,232.05,2025-07-25 09:25:00,25209.0,19.45,252.05,Target,18.15
2025-07-28,2025-07-28 09:15:00,24771.4,24750,24850,24650,2025-07-31,81.0,69.8,2025-07-28 09:25:00,24805.0,95.8,55.25,Target,0.25
